OBJECTID,DWR_BASIN_ID,SUBBSN_ID,BAS_SBBSN,GWBASIN,SUBNAME
180,5-22,5-22.14,5-22.14,SAN JOAQUIN VALLEY,KERN COUNTY
213,5-22,5-22.10,5-22.10,SAN JOAQUIN VALLEY,PLEASANT VALLEY
230,5-22,5-22.13,5-22.13,SAN JOAQUIN VALLEY,TULE
243,5-22,5-22.12,5-22.12,SAN JOAQUIN VALLEY,TULARE LAKE
249,5-22,5-22.11,5-22.11,SAN JOAQUIN VALLEY,KAWEAH
263,5-22,5-22.09,5-22.09,SAN JOAQUIN VALLEY,WESTSIDE
272,5-22,5-22.08,5-22.08,SAN JOAQUIN VALLEY,KINGS
277,5-70, ,5-70,LOS BANOS CREEK VALLEY, 
287,5-22,5-22.05,5-22.05,SAN JOAQUIN VALLEY,CHOWCHILLA
288,5-22,5-22.06,5-22.06,SAN JOAQUIN VALLEY,MADERA
295,5-22,5-22.04,5-22.04,SAN JOAQUIN VALLEY,MERCED
301,5-22,5-22.03,5-22.03,SAN JOAQUIN VALLEY,TURLOCK
303,5-22,5-22.07,5-22.07,SAN JOAQUIN VALLEY,DELTA-MENDOTA
316,5-22,5-22.02,5-22.02,SAN JOAQUIN VALLEY,MODESTO
322,2-31, ,2-31,ARROYO DEL HAMBRE VALLEY, 
323,2-6, ,2-6,YGNACIO VALLEY, 
324,2-4, ,2-4,PITTSBURG PLAIN, 
325,2-5, ,2-5,CLAYTON VALLEY, 
326,5-22,5-22.15,5-22.15,SAN JOAQUIN VALLEY,TRACY
329,5-22,5-22.01,5-22.01,SAN JOAQUIN VALLEY,EASTERN SAN JOAQUIN
332,2-3, ,2-3,SUISUN-FAIRFIELD VALLEY, 
340,5-22,5-22.16,5-22.16,SAN JOAQUIN VALLEY,COSUMNES
343,5-21,5-21.66,5-21.66,SACRAMENTO VALLEY,SOLANO
354,5-21,5-21.65,5-21.65,SACRAMENTO VALLEY,SOUTH AMERICAN
355,5-21,5-21.67,5-21.67,SACRAMENTO VALLEY,YOLO
361,5-21,5-21.68,5-21.68,SACRAMENTO VALLEY,CAPAY VALLEY
367,5-21,5-21.64,5-21.64,SACRAMENTO VALLEY,NORTH AMERICAN
380,5-21,5-21.61,5-21.61,SACRAMENTO VALLEY,SOUTH YUBA
382,5-21,5-21.62,5-21.62,SACRAMENTO VALLEY,SUTTER
405,5-21,5-21.59,5-21.59,SACRAMENTO VALLEY,EAST BUTTE
408,5-21,5-21.58,5-21.58,SACRAMENTO VALLEY,WEST BUTTE
412,5-21,5-21.52,5-21.52,SACRAMENTO VALLEY,COLUSA
423,5-21,5-21.51,5-21.51,SACRAMENTO VALLEY,CORNING
425,5-21,5-21.57,5-21.57,SACRAMENTO VALLEY,VINA
427,5-21,5-21.56,5-21.56,SACRAMENTO VALLEY,LOS MOLINOS
431,5-21,5-21.55,5-21.55,SACRAMENTO VALLEY,DYE CREEK
432,5-21,5-21.54,5-21.54,SACRAMENTO VALLEY,ANTELOPE
434,5-21,5-21.50,5-21.50,SACRAMENTO VALLEY,RED BLUFF
437,5-21,5-21.53,5-21.53,SACRAMENTO VALLEY,BEND
439,5-6,5-6.01,5-6.01,REDDING AREA,BOWMAN
440,5-6,5-6.02,5-6.02,REDDING AREA,ROSEWOOD
442,5-6,5-6.06,5-6.06,REDDING AREA,SOUTH BATTLE CREEK
451,5-6,5-6.03,5-6.03,REDDING AREA,ANDERSON
458,5-6,5-6.05,5-6.05,REDDING AREA,MILLVILLE
463,5-6,5-6.04,5-6.04,REDDING AREA,ENTERPRISE
516,5-21,5-21.60,5-21.60,SACRAMENTO VALLEY,NORTH YUBA
